"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","response"
"[{""page_index"":0,""viewing_time"":2201.3999999908265},{""page_index"":1,""viewing_time"":14833.700000017416},{""page_index"":2,""viewing_time"":10118.09999999241}]","27153.699999995297","instructions","0","27181","0.0-0.0","346","","","",""
"","3288.4999999951106","survey-text","1","30471","0.0-1.0","346","{""Q0"":""30""}","","",""
"","6859.99999998603","survey-text","2","37332","0.0-2.0","346","{""Q0"":""Doctoral Student""}","","",""
"","14506.099999998696","survey-text","3","51841","0.0-3.0","346","{""Q0"":""2,5 years""}","","",""
"","15157.200000016019","survey-text","4","66999","0.0-4.0","346","{""Q0"":""Moveable-Do""}","","",""
"","4631.400000012945","survey-text","5","71632","0.0-5.0","346","{""Q0"":""Piano""}","","",""
"","7264.500000019325","survey-text","6","78897","0.0-6.0","346","{""Q0"":""MA Music Theory""}","","",""
"","7681.799999991199","survey-text","7","86580","0.0-7.0","346","{""Q0"":""Louisiana State University""}","","",""
"[{""page_index"":0,""viewing_time"":2665.899999992689},{""page_index"":1,""viewing_time"":33605.50000000512},{""page_index"":2,""viewing_time"":3234.3999999866355},{""page_index"":3,""viewing_time"":7824.500000016997}]","47331.00000000559","instructions","8","133913","0.0-8.0","346","","","",""
"","44822.50000000931","image-button-response","9","178740","0.0-9.0-0.0","346","","img/Berkowitz59.png","2",""
"","46625.399999989895","image-button-response","10","225369","0.0-9.0-1.0","346","","img/Berkowitz59.png","5",""
"","10292.399999976624","image-slider-response","11","235664","0.0-9.0-2.0","346","","","","58"
"","9067.199999990407","image-slider-response","12","244733","0.0-9.0-3.0","346","","","","16"
"","13275.200000003679","image-button-response","13","258009","0.0-9.0-4.0","346","","img/Berkowitz59.png","1",""
"","24898.099999991246","image-button-response","14","282909","0.0-9.0-0.1","346","","img/Berkowitz334t.png","3",""
"","21578.699999983655","image-button-response","15","304492","0.0-9.0-1.1","346","","img/Berkowitz334t.png","6",""
"","5533.900000009453","image-slider-response","16","310028","0.0-9.0-2.1","346","","","","78"
"","9307.600000000093","image-slider-response","17","319337","0.0-9.0-3.1","346","","","","57"
"","4193.50000002305","image-button-response","18","323532","0.0-9.0-4.1","346","","img/Berkowitz334t.png","0",""
"","20173.10000001453","image-button-response","19","343707","0.0-9.0-0.2","346","","img/Berkowitz607tx.png","4",""
"","40280.80000000773","image-button-response","20","383990","0.0-9.0-1.2","346","","img/Berkowitz607tx.png","7",""
"","4483.9000000210945","image-slider-response","21","388476","0.0-9.0-2.2","346","","","","60"
"","10645.499999984168","image-slider-response","22","399123","0.0-9.0-3.2","346","","","","42"
"","4602.600000012899","image-button-response","23","403728","0.0-9.0-4.2","346","","img/Berkowitz607tx.png","1",""
"","13351.40000001411","image-button-response","24","417083","0.0-9.0-0.3","346","","img/Berkowitz627.png","4",""
"","9012.500000011642","image-button-response","25","426097","0.0-9.0-1.3","346","","img/Berkowitz627.png","9",""
"","8905.100000003586","image-slider-response","26","435004","0.0-9.0-2.3","346","","","","89"
"","6989.299999986542","image-slider-response","27","441994","0.0-9.0-3.3","346","","","","42"
"","2979.1999999724794","image-button-response","28","444975","0.0-9.0-4.3","346","","img/Berkowitz627.png","1",""
"","20114.299999986542","image-button-response","29","465091","0.0-9.0-0.4","346","","img/Berkowitz75.png","1",""
"","4192.799999989802","image-button-response","30","469286","0.0-9.0-1.4","346","","img/Berkowitz75.png","3",""
"","4179.49999999837","image-slider-response","31","473468","0.0-9.0-2.4","346","","","","81"
"","3276.5999999828637","image-slider-response","32","476746","0.0-9.0-3.4","346","","","","74"
"","1653.3999999810476","image-button-response","33","478401","0.0-9.0-4.4","346","","img/Berkowitz75.png","0",""
"","9005.899999989197","image-button-response","34","487408","0.0-9.0-0.5","346","","img/Berkowitz26.png","0",""
